iter	Passed	Remaining
785	2899	789
786	2903	785
787	2906	781
788	2910	778
789	2914	774
790	2917	770
791	2921	767
792	2924	763
793	2928	759
794	2932	756
795	2935	752
796	2939	748
797	2942	744
798	2946	741
799	2949	737
800	2953	733
801	2956	729
802	2960	726
803	2963	722
804	2967	718
805	2970	715
806	2974	711
807	2977	707
808	2980	703
809	2984	700
810	2987	696
811	2991	692
812	2994	688
813	2998	685
814	3002	681
815	3005	677
816	3009	674
817	3012	670
818	3016	666
819	3020	662
820	3023	659
821	3027	655
822	3030	651
823	3034	648
824	3037	644
825	3041	640
826	3044	636
827	3048	633
828	3051	629
829	3055	625
830	3059	622
831	3062	618
832	3065	614
833	3069	610
834	3072	607
835	3076	603
836	3079	599
837	3083	596
838	3086	592
839	3089	588
840	3093	584
841	3096	581
842	3100	577
843	3103	573
844	3106	569
845	3110	566
846	3113	562
847	3116	558
848	3119	554
849	3123	551
850	3127	547
851	3130	543
852	3134	540
853	3137	536
854	3141	532
855	3144	528
856	3147	525
857	3151	521
858	3154	517
859	3158	514
860	3161	510
861	3165	506
862	3168	502
863	3171	499
864	3174	495
865	3177	491
866	3181	488
867	3184	484
868	3187	480
869	3190	476
870	3193	473
871	3196	469
872	3199	465
873	3202	461
874	3206	458
875	3209	454
876	3212	450
877	3215	446
878	3218	443
879	3222	439
880	3225	435
881	3230	432
882	3234	428
883	3239	425
884	3243	421
885	3248	417
886	3253	414
887	3257	410
888	3263	407
889	3267	403
890	3273	400
891	3278	396
892	3282	393
893	3288	389
894	3291	386
895	3295	382
896	3298	378
897	3300	374
898	3304	371
899	3307	367
900	3310	363
901	3314	360
902	3316	356
903	3320	352
904	3323	348
905	3326	345
906	3329	341
907	3332	337
908	3336	333
909	3339	330
910	3342	326
911	3345	322
912	3348	319
913	3352	315
914	3355	311
915	3358	307
916	3361	304
917	3365	300
918	3368	296
919	3371	293
920	3375	289
921	3378	285
922	3381	282
923	3385	278
924	3388	274
925	3392	271
926	3395	267
927	3398	263
928	3402	260
929	3404	256
930	3408	252
931	3411	248
932	3414	245
933	3417	241
934	3420	237
935	3424	234
936	3427	230
937	3430	226
938	3433	223
939	3436	219
940	3439	215
941	3442	211
942	3445	208
943	3449	204
944	3452	200
945	3455	197
946	3458	193
947	3461	189
948	3465	186
949	3468	182
950	3471	178
951	3474	175
952	3477	171
953	3480	167
954	3483	164
955	3486	160
956	3490	156
957	3493	153
958	3496	149
959	3499	145
960	3502	142
961	3506	138
962	3509	134
963	3512	131
964	3516	127
965	3519	123
966	3523	120
967	3526	116
968	3529	112
969	3533	109
970	3535	105
971	3539	101
972	3542	98
973	3545	94
974	3548	90
975	3551	87
976	3555	83
977	3558	80
978	3561	76
979	3564	72
980	3567	69
981	3570	65
982	3573	61
983	3576	58
984	3580	54
985	3583	50
986	3586	47
987	3589	43
988	3593	39
989	3596	36
990	3599	32
991	3603	29
992	3606	25
993	3609	21
994	3612	18
995	3615	14
996	3619	10
997	3622	7
998	3625	3
999	3629	0
